Date,Open,High,Low,Close,Adj Close,Volume,Day
2015-02-10,30.0425,30.5375,30.040001,30.504999,27.567287,248034000,0
2015-02-11,30.692499,31.23,30.625,31.219999,28.213427,294247200,1
2015-02-12,31.514999,31.870001,31.3925,31.615,28.570381,297898000,2
2015-02-13,31.82,31.82,31.4125,31.77,28.710459,217088800,3
2015-02-17,31.872499,32.220001,31.73,31.9575,28.879898,252609600,4
2015-02-18,31.907499,32.195,31.862499,32.18,29.080973,179566800,5
2015-02-19,32.119999,32.2575,32.0825,32.112499,29.019979,149449600,6
2015-02-20,32.154999,32.375,32.012501,32.375,29.2572,195793600,7
2015-02-23,32.505001,33.25,32.415001,33.25,30.047934,283896400,8
2015-02-24,33.235001,33.400002,32.7925,33.0425,29.860409,276912400,9
2015-02-25,32.889999,32.900002,32.037498,32.197498,29.096788,298846800,10
2015-02-26,32.197498,32.717499,31.6525,32.605,29.465044,365150000,11
2015-02-27,32.5,32.642502,32.060001,32.115002,29.022232,248059200,12
2015-03-02,32.3125,32.57,32.075001,32.272499,29.164574,192386800,13
2015-03-03,32.240002,32.380001,32.022499,32.34,29.225569,151265200,14
2015-03-04,32.275002,32.389999,32.080002,32.134998,29.040312,126665200,15
2015-03-05,32.145,32.1875,31.440001,31.602501,28.55909,226068400,16
2015-03-06,32.099998,32.342499,31.565001,31.65,28.602013,291368400,17
2015-03-09,31.99,32.392502,31.264999,31.785,28.724016,354114000,18
2015-03-10,31.602501,31.805,30.950001,31.127501,28.129831,275426400,19
2015-03-11,31.1875,31.192499,30.5275,30.559999,27.616985,275756000,20
2015-03-12,30.577499,31.225,30.407499,31.112499,28.116274,193450800,21
2015-03-13,31.1,31.35,30.645,30.897499,27.92198,207309200,22
2015-03-16,30.969999,31.237499,30.717501,31.237499,28.229242,143497200,23
2015-03-17,31.475,31.83,31.4125,31.76,28.701422,204092400,24
2015-03-18,31.75,32.290001,31.592501,32.1175,29.024496,261083600,25
2015-03-19,32.1875,32.3125,31.85,31.875,28.805351,183238000,26
2015-03-20,32.0625,32.099998,31.290001,31.475,28.443872,274780400,27
2015-03-23,31.780001,31.9625,31.629999,31.8025,28.739838,150838800,28
2015-03-24,31.807501,32.009998,31.639999,31.672501,28.622351,131369200,29
2015-03-25,31.635,31.705,30.844999,30.844999,27.874542,206620800,30
2015-03-26,30.690001,31.219999,30.65,31.059999,28.068836,190291600,31
2015-03-27,31.1425,31.174999,30.727501,30.8125,27.845171,158184800,32
2015-03-30,31.012501,31.6,31,31.592501,28.550053,188398800,33
2015-03-31,31.522499,31.622499,31.09,31.1075,28.111763,168362400,34
2015-04-01,31.205,31.280001,30.775,31.0625,28.071098,162485600,35
2015-04-02,31.2575,31.389999,31.047501,31.33,28.312832,128880400,36
2015-04-06,31.1175,31.877501,31.0825,31.8375,28.771454,148776000,37
2015-04-07,31.91,32.029999,31.495001,31.502501,28.468716,140049200,38
2015-04-08,31.4625,31.6,31.2425,31.4,28.376093,149316800,39
2015-04-09,31.4625,31.645,31.165001,31.639999,28.592979,129936000,40
2015-04-10,31.487499,31.8025,31.315001,31.775,28.714977,160752000,41
2015-04-13,32.092499,32.142502,31.6525,31.7125,28.658493,145460400,42
2015-04-14,31.75,31.8225,31.477501,31.575001,28.534245,102098400,43
2015-04-15,31.602501,31.782499,31.502501,31.695,28.642683,115881600,44
2015-04-16,31.57,31.775,31.5275,31.5425,28.504869,113476000,45
2015-04-17,31.387501,31.535,31.115,31.1875,28.184061,207828000,46
2015-04-20,31.3925,32.029999,31.2925,31.9,28.827934,188217200,47
2015-04-21,32.025002,32.049999,31.6675,31.727501,28.67205,129740400,48
2015-04-22,31.747499,32.217499,31.58,32.154999,29.058388,150618000,49
2015-04-23,32.075001,32.605,32.035,32.4175,29.295601,183083600,50
2015-04-24,32.622501,32.657501,32.307499,32.57,29.43342,178103600,51
2015-04-27,33.077499,33.282501,32.787498,33.162498,29.968855,387816800,52
2015-04-28,33.615002,33.634998,32.392502,32.639999,29.496677,475696000,53
2015-04-29,32.540001,32.897499,32.075001,32.16,29.062899,253544400,54
2015-04-30,32.16,32.16,31.145,31.2875,28.274426,332781600,55
2015-05-01,31.525,32.532501,31.325001,32.237499,29.132936,234050400,56
2015-05-04,32.375,32.642502,32.064999,32.174999,29.076454,203953200,57
2015-05-05,32.037498,32.112499,31.445,31.450001,28.421274,197085600,58
2015-05-06,31.639999,31.6875,30.84,31.252501,28.242798,288564000,59
2015-05-07,31.192499,31.52,31.004999,31.315001,28.417488,175763600,60
2015-05-08,31.67,31.905001,31.5275,31.905001,28.9529,222201600,61
2015-05-11,31.8475,31.889999,31.407499,31.58,28.657967,168143200,62
2015-05-12,31.4,31.719999,31.205,31.467501,28.555872,192640000,63
2015-05-13,31.5375,31.797501,31.467501,31.502501,28.587633,138776800,64
2015-05-14,31.852501,32.237499,31.790001,32.237499,29.254625,180814000,65
2015-05-15,32.267502,32.372501,32.052502,32.192501,29.213787,152832000,66
2015-05-18,32.095001,32.68,32.09,32.547501,29.535948,203531600,67
2015-05-19,32.672501,32.720001,32.41,32.517502,29.508726,178532800,68
2015-05-20,32.5,32.744999,32.334999,32.514999,29.506454,145819600,69
2015-05-21,32.517502,32.907501,32.4575,32.8475,29.808191,158921600,70
2015-05-22,32.900002,33.2425,32.849998,33.134998,30.06908,182384000,71
2015-05-26,33.150002,33.227501,32.279999,32.404999,29.406626,282790400,72
2015-05-27,32.584999,33.064999,32.512501,33.009998,29.955652,183332800,73
2015-05-28,32.965,32.987499,32.775002,32.945,29.896662,122933200,74
2015-05-29,32.807499,32.862499,32.474998,32.57,29.556362,203538000,75
2015-06-01,32.57,32.8475,32.512501,32.634998,29.615353,128451200,76
2015-06-02,32.465,32.665001,32.330002,32.490002,29.483768,134670400,77
2015-06-03,32.665001,32.735001,32.474998,32.529999,29.520065,123934000,78
2015-06-04,32.395,32.645,32.227501,32.34,29.347645,153800400,79
2015-06-05,32.375,32.422501,32.09,32.162498,29.186567,142507200,80
2015-06-08,32.224998,32.302502,31.7075,31.950001,28.993727,210699200,81
2015-06-09,31.674999,32.02,31.405001,31.855,28.90752,224301600,82
2015-06-10,31.98,32.334999,31.9625,32.220001,29.238747,156349200,83
2015-06-11,32.294998,32.544998,32.119999,32.147499,29.172958,141563600,84
2015-06-12,32.047501,32.0825,31.7775,31.7925,28.850809,147544800,85
2015-06-15,31.525,31.809999,31.4275,31.73,28.794088,175955600,86
2015-06-16,31.7575,31.9625,31.592501,31.9,28.948353,125976400,87
2015-06-17,31.93,31.969999,31.684999,31.825001,28.880297,131672400,88
2015-06-18,31.807501,32.077499,31.805,31.969999,29.011881,141628800,89
2015-06-19,31.9275,31.955,31.6,31.65,28.721483,218867600,90
2015-06-22,31.872499,32.014999,31.77,31.9025,28.950628,136157200,91
2015-06-23,31.870001,31.9025,31.719999,31.7575,28.819042,121075600,92
2015-06-24,31.8025,32.450001,31.780001,32.0275,29.06406,221123600,93
2015-06-25,32.215,32.299999,31.875,31.875,28.925669,127752400,94
2015-06-26,31.9175,31.997499,31.627501,31.6875,28.755518,176267200,95
2015-06-29,31.365,31.6175,31.120001,31.1325,28.251871,196645600,96
2015-06-30,31.3925,31.530001,31.215,31.3575,28.456055,177482800,97
2015-07-01,31.725,31.735001,31.497499,31.65,28.721483,120955200,98
2015-07-02,31.6075,31.672501,31.442499,31.610001,28.685188,108844000,99
2015-07-06,31.235001,31.557501,31.2125,31.5,28.585363,112241600,100
2015-07-07,31.4725,31.5375,30.942499,31.422501,28.515039,187787200,101
2015-07-08,31.120001,31.16,30.635,30.6425,27.807205,243046400,102
2015-07-09,30.9625,31.014999,29.805,30.0175,27.240044,314380000,103
2015-07-10,30.485001,30.9625,30.3025,30.82,27.968285,245418000,104
2015-07-13,31.2575,31.440001,31.08,31.415001,28.508236,165762000,105
2015-07-14,31.51,31.592501,31.26,31.4025,28.496893,127072400,106
2015-07-15,31.43,31.7875,31.395,31.705,28.771395,134596800,107
2015-07-16,31.934999,32.142502,31.8375,32.127499,29.154808,144889600,108
2015-07-17,32.27,32.404999,32.077499,32.404999,29.406626,184658800,109
2015-07-20,32.7425,33.2425,32.674999,33.017502,29.96246,235600800,110
2015-07-21,33.212502,33.23,32.580002,32.6875,29.662991,307025600,111
2015-07-22,30.497499,31.375,30.497499,31.305,28.408413,461802400,112
2015-07-23,31.549999,31.772499,31.264999,31.290001,28.394798,203998000,113
2015-07-24,31.33,31.434999,30.975,31.125,28.245066,168649200,114
2015-07-27,30.772499,30.9025,30.530001,30.692499,27.852585,177822000,115
2015-07-28,30.844999,30.977501,30.637501,30.844999,27.990973,134472400,116
